ColumnTag,Data Element,ColumnUse,Source,Type,Use,UseDetail,UseDetail2
AQ-WGWFr,"Aquaculture, groundwater withdrawals, fresh, in Mgal/d",y,Ground,Fresh,Aquaculture,
AQ-WGWSa,"Aquaculture, groundwater withdrawals, saline, in Mgal/d",y,Ground,Saline,Aquaculture,
AQ-WGWTo,"Aquaculture, groundwater withdrawals, total, in Mgal/d",n,,,,
AQ-WSWFr,"Aquaculture, surface-water withdrawals, fresh, in Mgal/d",y,Surface,Fresh,Aquaculture,
AQ-WSWSa,"Aquaculture, surface-water withdrawals, saline, in Mgal/d",y,Surface,Saline,Aquaculture,
AQ-WSWTo,"Aquaculture, surface-water withdrawals, total, in Mgal/d",n,,,,
AQ-WFrTo,"Aquaculture, total withdrawals, fresh, in Mgal/d",n,,,,
AQ-WSaTo,"Aquaculture, total withdrawals, saline, in Mgal/d",n,,,,
AQ-WTotl,"Aquaculture, total withdrawals, total (fresh+saline), in Mgal/d",n,,,,
MI-WGWFr,"Mining, groundwater withdrawals, fresh, in Mgal/d",y,Ground,Fresh,Mining,
MI-WGWSa,"Mining, groundwater withdrawals, saline, in Mgal/d",y,Ground,Saline,Mining,
MI-WGWTo,"Mining, groundwater withdrawals, total, in Mgal/d",n,,,,
MI-WSWFr,"Mining, surface-water withdrawals, fresh, in Mgal/d",y,Surface,Fresh,Mining,
MI-WSWSa,"Mining, surface-water withdrawals, saline, in Mgal/d",y,Surface,Saline,Mining,
MI-WSWTo,"Mining, surface-water withdrawals, total, in Mgal/d",n,,,,
MI-WFrTo,"Mining, total withdrawals, fresh, in Mgal/d",n,,,,
MI-WSaTo,"Mining, total withdrawals, saline, in Mgal/d",n,,,,
MI-Wtotl,"Mining, total withdrawals, total (fresh+saline), in Mgal/d",n,,,,
PT-WGWFr,"Thermoelectric, groundwater withdrawals, fresh, in Mgal/d",n,,,,
PT-WGWSa,"Thermoelectric, groundwater withdrawals, saline, in Mgal/d",n,,,,
PT-WGWTo,"Thermoelectric, groundwater withdrawals, total, in Mgal/d",n,,,,
PT-WSWFr,"Thermoelectric, surface-water withdrawals, fresh, in Mgal/d",n,,,,
PT-WSWSa,"Thermoelectric, surface-water withdrawals, saline, in Mgal/d",n,,,,
PT-WSWTo,"Thermoelectric, surface-water withdrawals, total, in Mgal/d",n,,,,
PT-WFrTo,"Thermoelectric, total withdrawals, fresh, in Mgal/d",n,,,,
PT-WSaTo,"Thermoelectric, total withdrawals, saline, in Mgal/d",n,,,,
PT-Wtotl,"Thermoelectric, total withdrawals, total (fresh+saline), in Mgal/d",n,,,,
PT-Power,"Thermoelectric, power generated, in gigawatt-hours",n,,,,
PO-WGWFr,"Thermoelectric once-through, groundwater withdrawals, fresh, in Mgal/d",y,Ground,Fresh,Thermoelectric,Thermoelectric once-through
PO-WGWSa,"Thermoelectric once-through, groundwater withdrawals, saline, in Mgal/d",y,Ground,Saline,Thermoelectric,Thermoelectric once-through
PO-WGWTo,"Thermoelectric once-through, groundwater withdrawals, total, in Mgal/d",n,,,,
PO-WSWFr,"Thermoelectric once-through, surface-water withdrawals, fresh, in Mgal/d",y,Surface,Fresh,Thermoelectric,Thermoelectric once-through
PO-WSWSa,"Thermoelectric once-through, surface-water withdrawals, saline, in Mgal/d",y,Surface,Saline,Thermoelectric,Thermoelectric once-through
PO-WSWTo,"Thermoelectric once-through, surface-water withdrawals, total, in Mgal/d",n,,,,
PO-WFrTo,"Thermoelectric once-through, total withdrawals, fresh, in Mgal/d",n,,,,
PO-WSaTo,"Thermoelectric once-through, total withdrawals, saline, in Mgal/d",n,,,,
PO-WTotl,"Thermoelectric once-through, total withdrawals, total, in Mgal/d",n,,,,
PO-Power,"Thermoelectric once-through, power generated, in gigawatt-hours",n,,,,
PC-WGWFr,"Thermoelectric recirculation, groundwater withdrawals, fresh, in Mgal/d",y,Ground,Fresh,Thermoelectric,Thermoelectric recirculation
PC-WGWSa,"Thermoelectric recirculation, groundwater withdrawals, saline, in Mgal/d",y,Ground,Saline,Thermoelectric,Thermoelectric recirculation
PC-WGWTo,"Thermoelectric recirculation, groundwater withdrawals, total, in Mgal/d",n,,,,
PC-WSWFr,"Thermoelectric recirculation, surface-water withdrawals, fresh, in Mgal/d",y,Surface,Fresh,Thermoelectric,Thermoelectric recirculation
PC-WSWSa,"Thermoelectric recirculation, surface-water withdrawals, saline, in Mgal/d",y,Surface,Saline,Thermoelectric,Thermoelectric recirculation
PC-WSWTo,"Thermoelectric recirculation, surface-water withdrawals, total, in Mgal/d",n,,,,
PC-WFrTo,"Thermoelectric recirculation, total withdrawals, fresh, in Mgal/d",n,,,,
PC-WSaTo,"Thermoelectric recirculation, total withdrawals, saline, in Mgal/d",n,,,,
PC-WTotl,"Thermoelectric recirculation, total withdrawals, total (fresh+saline), in Mgal/d",n,,,,
PC-Power,"Thermoelectric recirculation, power generated, in gigawatt-hours",n,,,,
TO-WGWFr,"Total groundwater withdrawals, fresh, in Mgal/d",n,,,,
TO-WGWSa,"Total groundwater withdrawals, saline, in Mgal/d",n,,,,
TO-WGWTo,"Total groundwater withdrawals, total (fresh+saline), in Mgal/d",n,,,,
TO-WSWFr,"Total surface-water withdrawals, fresh, in Mgal/d",n,,,,
TO-WSWSa,"Total surface-water withdrawals, saline, in Mgal/d",n,,,,
TO-WSWTo,"Total surface-water withdrawals, total (fresh+saline), in Mgal/d",n,,,,
TO-WFrTo,"Total withdrawals, fresh, in Mgal/d",n,,,,
TO-WSaTo,"Total withdrawals, saline, in Mgal/d",n,,,,
TO-WTotl,"Total withdrawals, total (fresh+saline), in Mgal/d",n,,,,
