ColumnTag,Data Element,Source,Type,Use,Lvl4
MI-WGWTo,"Mining, groundwater withdrawals, total, in Mgal/d",,,,
MI-WSWFr,"Mining, surface-water withdrawals, fresh, in Mgal/d",Surface,Fresh,Mining,
MI-WSWSa,"Mining, surface-water withdrawals, saline, in Mgal/d",Surface,Saline,Mining,
MI-WSWTo,"Mining, surface-water withdrawals, total, in Mgal/d",,,,
MI-WFrTo,"Mining, total withdrawals, fresh, in Mgal/d",,,,
MI-WSaTo,"Mining, total withdrawals, saline, in Mgal/d",,,,
MI-Wtotl,"Mining, total withdrawals, total (fresh+saline), in Mgal/d",,,,
PT-WGWFr,"Thermoelectric, groundwater withdrawals, fresh, in Mgal/d",Ground,Fresh,Thermoelectric,
PT-WGWSa,"Thermoelectric, groundwater withdrawals, saline, in Mgal/d",Ground,Saline,Thermoelectric,
PT-WGWTo,"Thermoelectric, groundwater withdrawals, total, in Mgal/d",,,,
PT-WSWFr,"Thermoelectric, surface-water withdrawals, fresh, in Mgal/d",Surface,Fresh,Thermoelectric,
PT-WSWSa,"Thermoelectric, surface-water withdrawals, saline, in Mgal/d",Surface,Saline,Thermoelectric,
PT-WSWTo,"Thermoelectric, surface-water withdrawals, total, in Mgal/d",,,,
PT-WFrTo,"Thermoelectric, total withdrawals, fresh, in Mgal/d",,,,
PT-WSaTo,"Thermoelectric, total withdrawals, saline, in Mgal/d",,,,
PT-Wtotl,"Thermoelectric, total withdrawals, total (fresh+saline), in Mgal/d",,,,
PT-Power,"Thermoelectric, power generated, in gigawatt-hours",,,,
PO-WGWFr,"Thermoelectric once-through, groundwater withdrawals, fresh, in Mgal/d",Ground,Fresh,Thermoelectric once-through,
PO-WGWSa,"Thermoelectric once-through, groundwater withdrawals, saline, in Mgal/d",Ground,Saline,Thermoelectric once-through,
PO-WGWTo,"Thermoelectric once-through, groundwater withdrawals, total, in Mgal/d",,,,
PO-WSWFr,"Thermoelectric once-through, surface-water withdrawals, fresh, in Mgal/d",Surface,Fresh,Thermoelectric once-through,
PO-WSWSa,"Thermoelectric once-through, surface-water withdrawals, saline, in Mgal/d",Surface,Saline,Thermoelectric once-through,
PO-WSWTo,"Thermoelectric once-through, surface-water withdrawals, total, in Mgal/d",,,,
PO-WFrTo,"Thermoelectric once-through, total withdrawals, fresh, in Mgal/d",,,,
PO-WSaTo,"Thermoelectric once-through, total withdrawals, saline, in Mgal/d",,,,
PO-WTotl,"Thermoelectric once-through, total withdrawals, total, in Mgal/d",,,,
PO-Power,"Thermoelectric once-through, power generated, in gigawatt-hours",,,,
PC-WGWFr,"Thermoelectric recirculation, groundwater withdrawals, fresh, in Mgal/d",Ground,Fresh,Thermoelectric recirculation,
PC-WGWSa,"Thermoelectric recirculation, groundwater withdrawals, saline, in Mgal/d",Ground,Saline,Thermoelectric recirculation,
PC-WGWTo,"Thermoelectric recirculation, groundwater withdrawals, total, in Mgal/d",,,,
PC-WSWFr,"Thermoelectric recirculation, surface-water withdrawals, fresh, in Mgal/d",Surface,Fresh,Thermoelectric recirculation,
PC-WSWSa,"Thermoelectric recirculation, surface-water withdrawals, saline, in Mgal/d",Surface,Saline,Thermoelectric recirculation,
PC-WSWTo,"Thermoelectric recirculation, surface-water withdrawals, total, in Mgal/d",,,,
PC-WFrTo,"Thermoelectric recirculation, total withdrawals, fresh, in Mgal/d",,,,
PC-WSaTo,"Thermoelectric recirculation, total withdrawals, saline, in Mgal/d",,,,
PC-WTotl,"Thermoelectric recirculation, total withdrawals, total (fresh+saline), in Mgal/d",,,,
PC-Power,"Thermoelectric recirculation, power generated, in gigawatt-hours",,,,
TO-WGWFr,"Total groundwater withdrawals, fresh, in Mgal/d",,,,
TO-WGWSa,"Total groundwater withdrawals, saline, in Mgal/d",,,,
TO-WGWTo,"Total groundwater withdrawals, total (fresh+saline), in Mgal/d",,,,
TO-WSWFr,"Total surface-water withdrawals, fresh, in Mgal/d",,,,
TO-WSWSa,"Total surface-water withdrawals, saline, in Mgal/d",,,,
TO-WSWTo,"Total surface-water withdrawals, total (fresh+saline), in Mgal/d",,,,
TO-WFrTo,"Total withdrawals, fresh, in Mgal/d",,,,
TO-WSaTo,"Total withdrawals, saline, in Mgal/d",,,,
TO-WTotl,"Total withdrawals, total (fresh+saline), in Mgal/d",,,,
